State,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,44,44,44,44,44,44,44.47,46,46,46,46.91,48,48,48.89,50,50,52,52,52,52.4,54,54,54,55,56,56,56,56,56,56,56,54,53,53,53,53,53,53,53,53,53,54.2,55,55,55,55,58,57.63,58,58,57.63,55,55,56.67,55,55.5,57,57,,57,57,58,57,57.86,60,57.46,57,57,57,57,57,57,57,57,60,60,60,60,60,60,60,60,60,57.38,56,55,55,57.6,58.28,58.29,58.22,61.31,64.04,61.86,61.69,61.79,61.42,61.73,60.98,61.64,62.76,63.03,63.23,63.4,62.54,62.58,62.33,62.13,62.63,63.61,63.98,64.24,64.23,64.91,66.19,66,64.14,64.26,65.12,66.4,67.45,67.62,67.48,67.81,67.91,67.9,69.13,69.7,69.94,69.47,69.8,70.69,70.87,71.96,72.67,72.61,73.03,73.06,73.03,73.06,73.08,73.01,73.13,73.04,73.36,73.74,73.76,73.67,73.48,73.4,73.22,73.06,72.67
Andhra Pradesh,,,,,,,,,,,,,,,,28,28,28,28.77,29,29,29,29,29,30.47,29,29,29,29,29,29,32,32,32,32,32,31.62,31,31,31,31,31,31,32.9,33,33,33,33,33,33,33.42,33.5,33.5,33.5,33.5,33.5,,34.53,34.5,34.5,34.5,34.5,36.39,36.5,36.5,37.36,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.61,37.53,37.87,38.66,39.41,39.65,39.68,39.78,40.14,40.02,40,40.07,40.74,40.89,40.83,40.78,40.96,41.37,41.27,41.25,42.25,42.24,42.24,42.25,42.29,41.97,41.7,41.75,41.73,41.77,42.48,42.15,41.79,42,42,42,42.24,42.28,42,42,42,42,42,42,42,42,42,42.42,43.85,43.2,42.67,43.56,43.34,43.43,44.51,44.89,44.79,44.92,44.91,44.98,45.2,45.44,44.5,49.3,47.98,51.79,51.85,52.26,53.04,50.76,49.14,47.45,47.31,47.3,54.18,53.47,53.99,54.82,54.91,55.21,54.11,55.57,56.35,56.64,57.33,57.12,57.3,57.35,58.01,58.36,58.23,58.45,57.87,58.06,58.25,58.83,59.34,60.07,60.15,59.95,60.31,60.27,59.98,60.41,58.88,58.54,58.19,57.25,57.54,57.5,58.43,58.19,57.79,54.77
Arunachal pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,,40,40,40,40,40,40,40,40,50,50,50,50,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,60,60,60,,,60,,,60,60,,,,60,60,60,,,60,,,60,60,60,60,60,60,60,67.5,63,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,64,64,66,66,,,66,,68,68,68,66.91,68.3,68.44,68.46,69.51,68.67,66.22,68.07,70.35,70.91,71.67,71.58,71.53,71.36,71.42,70.75,71.32,72.31,74.01,74.93,75.11,76.48,75.73,74.62,75.38,75.38,75.33,75.35,75.33,74.08,74.52,74.87
Assam,24,22.2,22,22,22,22,22,22,22,22,22,23.14,24,23.65,23.11,23,24.6,26,26,26,26,26,26,26,26,26,26,26,27.62,29.23,31,31,31,31,31,31.92,32,32,32,34,34,34.11,35,35,35.47,36,36,37.6,38,38,38,39.67,40,40,40,40,42.67,40,41.84,41.18,40,40,40,40,40,40,40,43.78,44,44,44,44,44,44,41.88,40,40,43.78,44,44,44,44,44,44,44,44,44,44,44,46.75,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,61.5,62,61.6,62,62.76,63,63,63,63.72,64,64,64,64,64,64,64,65.46,66.56,66.79,66.86,67.5,67.94,66.81,68.32,68.51,68.76,68.73,68.92,69.18,69.47,69.71,69.73,70.06,70.15,70.43,70.82,70.89,71.03,71.1,71.43,71.56,72.13,72.32,72.35,72.32,72.69,72.55,71.81,71.92,72.04,71.92
Bihar,20,20,20,20,20,20,20,20,20,20,20,20,21.2,22,22.5,24,24,24,24,24,24,26.7,26.02,24.18,25.47,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.73,27.44,27.79,28,28,28,28,29.09,30,30,30,30,30,30.08,30.55,30.55,30.81,31,31.04,30.97,30.98,31.45,32,32,32,32,32.56,32.69,33.06,32.87,33,33.17,34,34.16,34.5,34.88,35.54,36,36.03,36.38,36.38,36.37,37.08,37.02,37.06,37.06,37.02,37.03,36.98,37.02,37.05,37.03,37,36.98,37.03,37.02,37.35,37.37,37.39,37.54,38.1,38.11,38.11,38.42,38.24,38.37,38.52,38.44,38.27,38.29,38.05,38.39,38.58,39.34,40.3,40.08,40.03,40.12,40.07,40.1,39.93,39.34,39.53,39.65,39.58,39.59,39.84,39.91,39.81,39.82,40.12,40.08,40.04,40.26,40.09,40.45,40.61,40.41,40.44,40.31,40.2,40.46,40.97,42.16,41.94,41.8,42.01,42.21,42.15,42.01,42.3,42.8,42.99,44.03,45.43,45.54,45.63,45.73,45.81,45.69,45.76,46.6,47.72,48.4,48.42,48.59,48.95,49.25,49.56,49.5,49.85,50.03,50.98,51.7,52.07,52.32,52.63,52.85,52.76,53.08,54.05,54.47,54.83,55.09,55.6,55.62,55.63,55.55,55.53,55.85,55.79,55.89,55.8,56.09,56.2,56.08,56.02,56.13,56.32,56.55,56.44,56.14,56.14,56.06
Chandigarh,23,23,23,23,23,23.18,25,25,25,25,25,25,25,25,25,,,,25,26.08,26,25,,27,,,,,30,30.86,31,31,31,29.5,32.95,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35.63,35.53,35,35,35,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39.85,41,41,41,41,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43.5,44,44,44,44,44,44,44,47.63,48,48,47.84,47.63,48.61,48.48,49.31,48,50.61,51.96,51.23,51,51.03,51.07,53.46,54.11,53.93,53.94,54.89,54.9,54.06,54.07,53.26,54.03,55.1,55,55.65,56.84,57.03,57,55.53,55,55,55,55,55.93,57.07,57.1,57.61,58,58,58.94,59,59.06,59,59.03,59.03,59,59.04,61.46,60.5,59.67,60,60,60,60,60,60,60,60
Chhattisgarh,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22.14,22.9,22.85,23,23,23,23,23,24.8,24.59,24,24,24,24,24,24,24,24,24,24,24,25.71,24,24,25.26,25.89,29.4,30,30.42,30.17,30,30.65,30,30,30,30,30,30,30,30.9,31,31,31,31,31,31,31,31,31,31,31,32.4,37.89,38,38,38,38,38,38,38,36.89,38,38,38,38,38,38,38,38,38,38,38,38,38.8,39.7,43.5,43.74,42.9,40.34,39.46,39.95,41.75,42.72,44.09,44.42,44.24,44.53,44.1,43.63,43.4,43.27,43.14,41.48,41.82,41.74,41.76,41.26,41.2,41.2,41.2,41.15,41.2,41.22,41.18,41.6,41.96,42,43.32,45.12,43.82,43.49,41.61,43.97,43.77,43.89,44,44.47,44.83,44.25,44.55,44.01,44.99,45.41,46.04,46.2,46.2,46.2,47.59,47.8,46.6,45.14,45.96,48.8,45.74,47.21,50.83,52.29,51.48,51.13,52.08,53.71,53.16,54.35,54.37,54.84,52.52,53.67,54.73,55.11,54.59,55.25,56.37,54.9,54.63,56.58,57.04,57.64,57.93,58.41,59.56,58.5,59,59.43,58.67,59.05,58.31,58.56,58.81,58.78,58.64,58.21,57.58,58.86,57.55,58.71,58.15,58.91,58.71,58,58.15,57.78,57.84
DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,21,21,21,21,21,21,21,21,21,21,21.9,22,22,22,22.33,23,23,23,23.77,24,24,24,24,24.45,25,25,25,25,25.86,27,27,27,28.36,29,29,29,29,29,29,29,29,29,29,29,29.68,30,30,30,30,30,30,30,30.43,32,32,32,32,32.63,34,34,34,36,36,36,36.29,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38.52,39,39,39,39,39,39,39,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42.47,44,44,44,44,44,44,45.1,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47.35,48,48,48,48,48,48,48,49.58,50,50,50,50,50.94,52,52,52,52,52.77,53,53,53,53,53,53,53,53,53,53,53.94,54,54,54,54,54,55.87,56,56,56,56,56,56,56,56,56,56
DNH and DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,52.04,54.04,53.39,55,55.84,56.49,58.86,56.55,56.67,63.82,64.1,64,64.03,64.33,64.33,64.32,64.33,64.32,64.33,64.29,64.92,65.6,65.67,65.67,65.67,65.9,65.97,66,65.93,66.3,66.4
Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.67,40,40.5,42,42,42,42,42,43.76,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43.78,44,44,44,44,44,44,44,44,44,47,47,47,47,47.26,48,49.05,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51.8,53,53,53,51.08,50,50,50,50,50,50,50,50,49.6,48.22,48,48,48,48,48,48,47.95,48,47.95,48.05,47.91,48,50.67,52.09,52,52.05,52.1,53.32,53.47,53.52,53.63,57.38,57.52,57.03,57.53,57.55,57.5,57.47,57.5,57.58,57.57,57.51,57.76,58.74,58,57.5,57.55,57.61,57.6,58.56,58.7,59.15,59.41,59.31,59.11,59.08,58.97,59
