State,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Andaman and Nicobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25.32,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,31,31,32.75,32.1,32.2,32.22,32,32,32.13,32,32,32,32,32.35,32.14,32,,32,35,32,32,33.14,36,36,36,36,35.8,35,35,35,35,35,35,35,35.06,36,36,36.47,38,38,38.53,39.13,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,43.28,43.58,41.86,41.13,41.54,40.93,40.68,41.13,40.88,41,,,41.06,40.52,40.04,39.35,38.92,39.08,40,40,40.13,40,40,40,40,,39.79,39.08,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,,,,,,,,,,,,,,,,17,17.2,17.41,19.91,20.64,21,21,21,21,21,21.79,22,22,22,22,22,22,22,21.95,22,22,22,22,22,22,22.91,23,23.55,24,25.05,26,26.45,25.7,26,26,25.21,26.17,25.91,25,25,25,,25.06,25.48,25.5,25.5,25.5,25.5,25.38,25,25.36,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.54,25.51,25.62,25.77,25.69,25.58,25.56,25.7,26.14,26.71,27.1,27.85,28.22,28.43,28.69,29.25,28.38,28.27,28.11,28,27.52,27.54,27.77,28.15,27.62,27.75,27.36,27.75,28.12,28.25,28.27,28.16,27.95,29.52,30.37,31.03,31.19,30.9,31.2,32,30.96,30.77,31.48,28.88,28.15,29.08,31.48,32.02,34.42,34.03,33.61,33.62,33.55,33.84,33.59,33.62,33.24,33.29,33.12,32.67,32.68,32.21,32.81,29.76,31.67,32.72,34.88,33.79,35.05,35.49,37.01,35.45,36.04,35.78,35.73,36.58,34.66,35.34,36.34,37.05,37.46,38.68,38.98,40.66,40.8,40.77,41.12,41.81,41.78,41.18,40.35,40.36,40.24,40.75,40.71,42.24,43.47,44.49,45.04,45.38,45.59,44.63,44.55,44.29,42.88,40.52,40.31,42.16,42.36,43.56,43.09,43.54,43.63,42.33
Arunachal pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,,,,16,16,13,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,,,,,,15,15,15,15,15,,,15,,,17.33,22,,,,25,25,25,,,25,,,25,25,25,25,25,25,25,25,31.95,34,34,34,34,34,35.27,36,36,36,36,36,36,36,36,36,,,,,,25,25,25,25,,,,,,,,,,,,,,,,,,,,39.5,40,40,40.17,40.21,41.17,42,42,42,42,42,42,42,42,42,42,42,42,42,43.72,45,45,45,45,45,45,45,45,45,45,45,45
Assam,13,13,13,13,13.8,14.23,15,14.75,14,14,15.8,16.05,17,16.65,16.11,15.29,13.8,14.88,14.7,15.59,16,16,16,16,16.33,17,16.27,16,16,16.86,17,17,17,17,15,14.5,14,14.35,16,15.5,15.13,15.22,15,16,19.25,19.81,19.29,20,20,20.17,20.94,21,21,21,21,20.95,21,21,21,21,21,21,21.56,22,22,22,22,22,22,22.38,23,23,23,23,23,23,22.35,22,22,22,22,22,22,22.22,23,23,23,23,23,23.83,24,24,24.77,25,25,25,26.86,27,26.69,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26.74,30,30,30,30,30,30,30,30,26.69,26,26,26,26,26,26,26,26,26,26,25.1,25,25,25,25,25,25,25,25,25,24.74,25,25,25,25,25,25,25,25,25,25,25,25,27.41,28,27.61,26.21,26.63,26.73,29.3,30.34,30.53,30.66,32.42,32.58,31.66,32.4,32.19,31.43,31.25,31.07,30.99,31.08,31.11,31.39,31.31,31.38,31.6,31.94,32.62,33.13,33.54,35.14,35.97,37.29,37.83,38.72,38.06,37.38,37.49
Bihar,11,11,11,11,11,11,11,11,11.25,12,12,12.52,13,13,13.25,12.63,12,13.29,14,14,13.63,13.88,14.18,14.39,15.13,15.5,15.5,15.25,14.69,14,14,14.18,14.5,14.19,14,14,14,14,14,14,14.11,14.68,15.15,15.52,15.41,15.92,17.55,17.52,16.5,16.97,17.89,17.8,16.95,16.94,18.55,18.74,19,18.92,19.5,19.49,19.88,19.66,20.19,19.44,18.79,18.5,18.5,19.34,18.63,18.75,18,17.25,17.32,17.55,17.44,17,16.62,16.04,16.3,16.69,16.77,17.09,17.15,17.33,17.27,17.3,17.45,16.6,16.55,16.69,17.3,17.83,18.9,20.16,20.68,22.31,22.47,22.27,21.7,19.71,17.89,17.81,18.2,18.36,18.3,18.21,18.11,18.29,18.57,18.95,18.65,18.56,18.04,18.42,18.64,20.57,20.75,21.28,21.92,21.82,21.62,22.36,23.11,21.4,19.65,19.83,19.94,20.91,21.43,22.19,22.31,22.2,22.53,22.74,22.89,22.58,21.07,21.42,21.65,21.73,20.95,19.94,19.59,19.19,19.45,19.67,19.7,19.1,19.37,19.72,19.77,19.47,19.46,20.15,20.93,20.9,21.11,21.28,22.5,22.5,22.94,23.05,23.65,25.46,26.83,27.31,27.94,28.62,29.77,29.8,28.09,25.96,25.23,25.48,25.84,26.08,26.46,26.97,27.6,27.74,27.63,27.56,27.35,26.98,26.8,27.1,27.46,27.86,28.23,28.68,29.22,29.52,29.76,29.95,29.99,29.8
Chandigarh,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,12,12,12,13,,13,,,,,13.29,15,15,15,15,14.5,14.85,15,15,15,15,15,15,15,15,15.6,18,18,18,18,18,19.24,21,21,21.76,22,22,22,22,19.89,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.64,19,19,20.75,22,22,22,22,22,22.14,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23.19,24.97,25,25,25,25,25,25,25,25,21.15,21,21.63,22,20.97,20.72,22.03,22.76,22,20.97,20.73,22.47,21.93,20,20,20,20,20,19.74,19.23,20,20.74,21.13,21.16,22.48,23.58,23.48,24,23.93,27.7,28,28,28,28,28.4,28,28,29.52,30,30,31.74,32,32,32,32,32,32,32,32,31.47,31.07,31,31,31,31,31,31,31,31
Chhattisgarh,17.4,18,18,18,18,18,18.7,19.65,19,19,17.05,20.62,21,20.35,16.86,15,15,15.55,15,15.86,16,16.75,17.3,16,16.68,17,17,17,17,17,17,17,16.55,16.53,16,16.57,17,17,17,17.53,17.15,17,17.84,19.39,21.79,21.3,20,21.56,22,21.65,21,21,21,21.6,22,22,22.22,23.2,24,24,23.74,23,23,23,23,22.6,22,22,22,22,22,22,22.11,23,23,23,23,23,23,23,23,23.29,24,24,24,24,24,22.67,22.37,23.34,23.43,23.28,24.15,24.83,25.06,25.19,25.52,25.15,24.72,25.29,25.25,25.24,24.45,24.4,24.53,25.26,25.89,26.3,26.09,25.72,24.88,25.19,25.03,24,24.96,25.47,25.75,25.24,25.11,25.51,26.68,26.63,26.37,25.99,25.59,26.67,25.88,25.63,26.13,25.94,26.98,26.89,27.29,27.26,28.32,29.87,29.86,29.11,27.35,27.51,26.75,27.24,27.4,27.85,28.4,29.46,30.17,27.8,26.92,29.02,29.96,30.72,28.44,27.98,28.4,28.47,28.19,28.1,28.4,29.11,29.62,30.07,30.2,29.85,30.12,29.05,30.25,30.78,31.76,32.89,32.66,33.04,32.88,31.83,32.84,33.45,34.24,36.15,36.1,36.27,36.33,36.72,36.52,36.97,37.28,38.38,37.34,33.77,33.82,33.63,34.15,34.18,35.17,35.46,35.68,34.36
DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi,13,13,13.2,13.72,13.9,13.59,13,13,13,13.29,14.9,15.14,15.2,15.45,15.1,13.75,13,13.5,14,14,14,14,14,14,15.05,16,16,16,15.1,15,15,15,15,15,15.05,15.05,16,16,16,16,16,15.38,15,16.68,19,18.21,19,19,19,19,19,18.9,17.26,17.55,18,18,18,18,18,18,18,18,18,18.89,20,19.52,19.18,20.05,19.64,19,18.67,18,18.45,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19.87,20,20,20,20.66,23.53,22.77,22.73,22.29,21.47,21,20.72,20,20,20,20,20.14,21,19.77,19.67,20,20,20,20,20,21.77,23,23,23.77,24,24,24.73,25,24.73,21.87,21.4,22,23,24,24,24.77,26,25.06,25,24.54,24,24,23.23,21.93,20.71,20,19.03,19,19.69,20,21.33,22.08,,,,,,,25,22.74,24,24,,,23.33,25,25,22.86,24,24.52,25,25.39,26.8,28,29.1,30.57,29.39,28.6,28,28,28,28,28,28.1,30,30,29.06,29,29,29.23,29,29,29.61,30,30,30,30.1,30,30.97,35.54,36.68,34
DNH and DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14,30.19,30.82,30.72,30.29,30.2,31.02,32.63,33.25,33,37.23,38.69,39.16,39.51,40.49,40.75,40.95,41.68,40.76,40.73,40.95,41.18,41.73,39.86,37.89,38.4,39.76,39.95,41.24,43.35,40.86,39.1
