State,Month,Price,Commodity
Assam,Jan-09,24,Milk
Bihar,Jan-09,20,Milk
Chandigarh,Jan-09,23,Milk
Chhattisgarh,Jan-09,22,Milk
Delhi,Jan-09,21,Milk
Gujarat,Jan-09,24.2,Milk
Himachal Pradesh,Jan-09,20,Milk
Jammu and Kashmir,Jan-09,20,Milk
Jharkhand,Jan-09,18,Milk
Karnataka,Jan-09,16,Milk
Kerala,Jan-09,20,Milk
Madhya Pradesh,Jan-09,22.05,Milk
Maharashtra,Jan-09,20,Milk
Meghalaya,Jan-09,31,Milk
Mizoram,Jan-09,28,Milk
Odisha,Jan-09,20,Milk
Punjab,Jan-09,21.5,Milk
Rajasthan,Jan-09,14,Milk
Tamil Nadu,Jan-09,18,Milk
Telangana,Jan-09,21,Milk
Uttar Pradesh,Jan-09,26,Milk
Uttarakhand,Jan-09,22,Milk
West Bengal,Jan-09,20,Milk
Assam,Feb-09,22.2,Milk
Bihar,Feb-09,20,Milk
Chandigarh,Feb-09,23,Milk
Chhattisgarh,Feb-09,22,Milk
Delhi,Feb-09,21,Milk
Gujarat,Feb-09,25,Milk
Himachal Pradesh,Feb-09,20,Milk
Jammu and Kashmir,Feb-09,20,Milk
Jharkhand,Feb-09,18,Milk
Karnataka,Feb-09,16,Milk
Kerala,Feb-09,20,Milk
Madhya Pradesh,Feb-09,23,Milk
Maharashtra,Feb-09,20,Milk
Meghalaya,Feb-09,31,Milk
Mizoram,Feb-09,28,Milk
Odisha,Feb-09,20,Milk
Punjab,Feb-09,21.55,Milk
Rajasthan,Feb-09,14,Milk
Tamil Nadu,Feb-09,18,Milk
Telangana,Feb-09,21,Milk
Uttar Pradesh,Feb-09,26,Milk
Uttarakhand,Feb-09,22,Milk
West Bengal,Feb-09,20.4,Milk
Assam,Mar-09,22,Milk
Bihar,Mar-09,20,Milk
Chandigarh,Mar-09,23,Milk
Chhattisgarh,Mar-09,22,Milk
Delhi,Mar-09,21,Milk
Gujarat,Mar-09,25,Milk
Himachal Pradesh,Mar-09,20,Milk
Jammu and Kashmir,Mar-09,20,Milk
Jharkhand,Mar-09,18,Milk
Karnataka,Mar-09,16,Milk
Kerala,Mar-09,20,Milk
Madhya Pradesh,Mar-09,22.85,Milk
Maharashtra,Mar-09,20,Milk
Meghalaya,Mar-09,31,Milk
Mizoram,Mar-09,28,Milk
Odisha,Mar-09,20,Milk
Punjab,Mar-09,22,Milk
Rajasthan,Mar-09,14,Milk
Tamil Nadu,Mar-09,18,Milk
Telangana,Mar-09,21,Milk
Uttar Pradesh,Mar-09,26,Milk
Uttarakhand,Mar-09,22,Milk
West Bengal,Mar-09,20,Milk
Assam,Apr-09,22,Milk
Bihar,Apr-09,20,Milk
Chandigarh,Apr-09,23,Milk
Chhattisgarh,Apr-09,22,Milk
Delhi,Apr-09,21,Milk
Gujarat,Apr-09,25,Milk
Himachal Pradesh,Apr-09,20,Milk
Jammu and Kashmir,Apr-09,20,Milk
Jharkhand,Apr-09,18,Milk
Karnataka,Apr-09,16,Milk
Kerala,Apr-09,20,Milk
Madhya Pradesh,Apr-09,22.22,Milk
Maharashtra,Apr-09,21,Milk
Meghalaya,Apr-09,31,Milk
Mizoram,Apr-09,28,Milk
