State,Month,Price,Commodity
Assam,Jan-09,16,Rice
Bihar,Jan-09,12,Rice
Chandigarh,Jan-09,20,Rice
Chhattisgarh,Jan-09,16.15,Rice
Delhi,Jan-09,22,Rice
Gujarat,Jan-09,17,Rice
Himachal Pradesh,Jan-09,22,Rice
Jammu and Kashmir,Jan-09,18,Rice
Jharkhand,Jan-09,15,Rice
Karnataka,Jan-09,17.45,Rice
Kerala,Jan-09,21.25,Rice
Madhya Pradesh,Jan-09,15.2,Rice
Maharashtra,Jan-09,18.35,Rice
Meghalaya,Jan-09,15,Rice
Mizoram,Jan-09,19,Rice
Nagaland,Jan-09,15,Rice
Odisha,Jan-09,15,Rice
Punjab,Jan-09,15.5,Rice
Rajasthan,Jan-09,18,Rice
Tamil Nadu,Jan-09,18,Rice
Telangana,Jan-09,14,Rice
Tripura,Jan-09,14,Rice
Uttar Pradesh,Jan-09,15,Rice
Uttarakhand,Jan-09,15,Rice
West Bengal,Jan-09,14,Rice
Assam,Feb-09,15.1,Rice
Bihar,Feb-09,12,Rice
Chandigarh,Feb-09,20,Rice
Chhattisgarh,Feb-09,18.75,Rice
Delhi,Feb-09,22,Rice
Gujarat,Feb-09,16.9,Rice
Himachal Pradesh,Feb-09,23,Rice
Jammu and Kashmir,Feb-09,18,Rice
Jharkhand,Feb-09,15,Rice
Karnataka,Feb-09,17,Rice
Kerala,Feb-09,22,Rice
Madhya Pradesh,Feb-09,18.2,Rice
Maharashtra,Feb-09,18,Rice
Meghalaya,Feb-09,15,Rice
Mizoram,Feb-09,19,Rice
Nagaland,Feb-09,15,Rice
Odisha,Feb-09,15,Rice
Punjab,Feb-09,15.5,Rice
Rajasthan,Feb-09,18,Rice
Tamil Nadu,Feb-09,18,Rice
Telangana,Feb-09,14,Rice
Tripura,Feb-09,14,Rice
Uttar Pradesh,Feb-09,15.55,Rice
Uttarakhand,Feb-09,15,Rice
West Bengal,Feb-09,14,Rice
Assam,Mar-09,14.75,Rice
Bihar,Mar-09,12,Rice
Chandigarh,Mar-09,20,Rice
Chhattisgarh,Mar-09,20,Rice
Delhi,Mar-09,21.5,Rice
Gujarat,Mar-09,16,Rice
Himachal Pradesh,Mar-09,22.3,Rice
Jammu and Kashmir,Mar-09,18,Rice
Jharkhand,Mar-09,15,Rice
Karnataka,Mar-09,16.7,Rice
Kerala,Mar-09,22,Rice
Madhya Pradesh,Mar-09,18,Rice
Maharashtra,Mar-09,17.6,Rice
Meghalaya,Mar-09,15,Rice
Mizoram,Mar-09,19,Rice
Nagaland,Mar-09,15,Rice
Odisha,Mar-09,15,Rice
Punjab,Mar-09,15.57,Rice
Rajasthan,Mar-09,18,Rice
Tamil Nadu,Mar-09,18,Rice
Telangana,Mar-09,14,Rice
Tripura,Mar-09,14.5,Rice
Uttar Pradesh,Mar-09,16.35,Rice
Uttarakhand,Mar-09,15,Rice
West Bengal,Mar-09,14,Rice
Assam,Apr-09,14,Rice
Bihar,Apr-09,12,Rice
Chandigarh,Apr-09,20,Rice
Chhattisgarh,Apr-09,20,Rice
Delhi,Apr-09,20,Rice
Gujarat,Apr-09,16,Rice
Himachal Pradesh,Apr-09,22,Rice
Jammu and Kashmir,Apr-09,18.28,Rice
Jharkhand,Apr-09,15,Rice
Karnataka,Apr-09,17,Rice
Kerala,Apr-09,23,Rice
Madhya Pradesh,Apr-09,17.06,Rice
Maharashtra,Apr-09,17.94,Rice
Meghalaya,Apr-09,15,Rice
Mizoram,Apr-09,19,Rice
Nagaland,Apr-09,15,Rice
Odisha,Apr-09,15,Rice
Punjab,Apr-09,16,Rice
Rajasthan,Apr-09,18,Rice
Tamil Nadu,Apr-09,18.5,Rice
Telangana,Apr-09,14,Rice
Tripura,Apr-09,15,Rice
Uttar Pradesh,Apr-09,16.56,Rice
Uttarakhand,Apr-09,15,Rice
West Bengal,Apr-09,14,Rice
Assam,May-09,14,Rice
Bihar,May-09,12,Rice
Chandigarh,May-09,20,Rice
Chhattisgarh,May-09,20,Rice
Delhi,May-09,20,Rice
Gujarat,May-09,16.1,Rice
Himachal Pradesh,May-09,24,Rice
Jammu and Kashmir,May-09,18.48,Rice
Jharkhand,May-09,15,Rice
Karnataka,May-09,17,Rice
Kerala,May-09,23,Rice
Madhya Pradesh,May-09,15,Rice
Maharashtra,May-09,18,Rice
Meghalaya,May-09,15,Rice
Mizoram,May-09,19,Rice
Nagaland,May-09,15.4,Rice
Odisha,May-09,15,Rice
Punjab,May-09,16.05,Rice
Rajasthan,May-09,18,Rice
Tamil Nadu,May-09,19,Rice
Telangana,May-09,14,Rice
Tripura,May-09,15,Rice
Uttar Pradesh,May-09,16.4,Rice
Uttarakhand,May-09,15,Rice
West Bengal,May-09,14,Rice
Assam,Jun-09,14,Rice
Bihar,Jun-09,12,Rice
Chandigarh,Jun-09,20,Rice
Chhattisgarh,Jun-09,20,Rice
Delhi,Jun-09,20,Rice
Gujarat,Jun-09,16.91,Rice
Himachal Pradesh,Jun-09,24,Rice
Jammu and Kashmir,Jun-09,18,Rice
Jharkhand,Jun-09,15,Rice
Karnataka,Jun-09,16.82,Rice
Kerala,Jun-09,23,Rice
Madhya Pradesh,Jun-09,15.05,Rice
Maharashtra,Jun-09,18.09,Rice
Meghalaya,Jun-09,15,Rice
Mizoram,Jun-09,19,Rice
Nagaland,Jun-09,16,Rice
Odisha,Jun-09,15.45,Rice
Punjab,Jun-09,16.23,Rice
Rajasthan,Jun-09,18,Rice
Tamil Nadu,Jun-09,19,Rice
Telangana,Jun-09,14.73,Rice
Tripura,Jun-09,15,Rice
Uttar Pradesh,Jun-09,16,Rice
Uttarakhand,Jun-09,15,Rice
West Bengal,Jun-09,14,Rice
Assam,Jul-09,14,Rice
Bihar,Jul-09,12,Rice
Chandigarh,Jul-09,20,Rice
Chhattisgarh,Jul-09,20.7,Rice
Delhi,Jul-09,20.17,Rice
Gujarat,Jul-09,16.52,Rice
Himachal Pradesh,Jul-09,24.35,Rice
Jammu and Kashmir,Jul-09,19.26,Rice
Jharkhand,Jul-09,15.48,Rice
Karnataka,Jul-09,17,Rice
Kerala,Jul-09,21.17,Rice
Madhya Pradesh,Jul-09,16,Rice
Maharashtra,Jul-09,18.78,Rice
Meghalaya,Jul-09,15,Rice
Mizoram,Jul-09,19,Rice
Nagaland,Jul-09,16,Rice
Odisha,Jul-09,15.48,Rice
Punjab,Jul-09,17.24,Rice
Rajasthan,Jul-09,18,Rice
Tamil Nadu,Jul-09,19,Rice
Telangana,Jul-09,16,Rice
Tripura,Jul-09,15,Rice
Uttar Pradesh,Jul-09,15.87,Rice
Uttarakhand,Jul-09,15,Rice
West Bengal,Jul-09,14,Rice
Assam,Aug-09,14,Rice
Bihar,Aug-09,12,Rice
Chandigarh,Aug-09,20,Rice
Chhattisgarh,Aug-09,21.3,Rice
Delhi,Aug-09,20.25,Rice
Gujarat,Aug-09,15.25,Rice
Himachal Pradesh,Aug-09,25,Rice
Jammu and Kashmir,Aug-09,21,Rice
Jharkhand,Aug-09,16,Rice
Karnataka,Aug-09,17.3,Rice
Kerala,Aug-09,21.3,Rice
Madhya Pradesh,Aug-09,16,Rice
Maharashtra,Aug-09,19.25,Rice
Meghalaya,Aug-09,15,Rice
Mizoram,Aug-09,19,Rice
Nagaland,Aug-09,16,Rice
Odisha,Aug-09,16,Rice
Punjab,Aug-09,17.5,Rice
Rajasthan,Aug-09,18,Rice
Tamil Nadu,Aug-09,19.2,Rice
Telangana,Aug-09,16.1,Rice
Tripura,Aug-09,15,Rice
Uttar Pradesh,Aug-09,15,Rice
Uttarakhand,Aug-09,15,Rice
West Bengal,Aug-09,14,Rice
Assam,Sep-09,14,Rice
Bihar,Sep-09,12,Rice
Chandigarh,Sep-09,20,Rice
Chhattisgarh,Sep-09,19.85,Rice
Delhi,Sep-09,21.75,Rice
Gujarat,Sep-09,16,Rice
Himachal Pradesh,Sep-09,25,Rice
Jammu and Kashmir,Sep-09,21.65,Rice
Jharkhand,Sep-09,16,Rice
Karnataka,Sep-09,17.65,Rice
Kerala,Sep-09,23,Rice
Madhya Pradesh,Sep-09,16,Rice
Maharashtra,Sep-09,19.3,Rice
Meghalaya,Sep-09,15,Rice
Mizoram,Sep-09,19,Rice
Nagaland,Sep-09,16,Rice
Odisha,Sep-09,16,Rice
Punjab,Sep-09,17.5,Rice
Rajasthan,Sep-09,18,Rice
Tamil Nadu,Sep-09,21.5,Rice
Telangana,Sep-09,18,Rice
Tripura,Sep-09,16,Rice
Uttar Pradesh,Sep-09,15.15,Rice
Uttarakhand,Sep-09,15,Rice
West Bengal,Sep-09,14,Rice
Assam,Oct-09,15.71,Rice
Bihar,Oct-09,12,Rice
Chandigarh,Oct-09,20,Rice
Chhattisgarh,Oct-09,19,Rice
