State,Month,Price,Commodity
Assam,Jan-09,13,Wheat
Bihar,Jan-09,11,Wheat
Chandigarh,Jan-09,13,Wheat
Chhattisgarh,Jan-09,17.4,Wheat
Delhi,Jan-09,13,Wheat
Gujarat,Jan-09,12.6,Wheat
Jammu and Kashmir,Jan-09,12,Wheat
Jharkhand,Jan-09,11,Wheat
Karnataka,Jan-09,16,Wheat
Kerala,Jan-09,20.7,Wheat
Madhya Pradesh,Jan-09,11.05,Wheat
Maharashtra,Jan-09,16,Wheat
Nagaland,Jan-09,14,Wheat
Punjab,Jan-09,11.5,Wheat
Rajasthan,Jan-09,12,Wheat
Tamil Nadu,Jan-09,18,Wheat
Telangana,Jan-09,14,Wheat
Uttar Pradesh,Jan-09,12,Wheat
Uttarakhand,Jan-09,12,Wheat
Assam,Feb-09,13,Wheat
Bihar,Feb-09,11,Wheat
Chandigarh,Feb-09,13,Wheat
Chhattisgarh,Feb-09,18,Wheat
Delhi,Feb-09,13,Wheat
Gujarat,Feb-09,13,Wheat
Jammu and Kashmir,Feb-09,12,Wheat
Jharkhand,Feb-09,12.5,Wheat
Karnataka,Feb-09,16,Wheat
Kerala,Feb-09,22,Wheat
Madhya Pradesh,Feb-09,12,Wheat
Maharashtra,Feb-09,15.85,Wheat
Nagaland,Feb-09,14,Wheat
Punjab,Feb-09,11.5,Wheat
Rajasthan,Feb-09,12,Wheat
Tamil Nadu,Feb-09,18,Wheat
Telangana,Feb-09,14,Wheat
Uttar Pradesh,Feb-09,12,Wheat
Uttarakhand,Feb-09,13,Wheat
Assam,Mar-09,13,Wheat
Bihar,Mar-09,11,Wheat
Chandigarh,Mar-09,13,Wheat
Chhattisgarh,Mar-09,18,Wheat
Delhi,Mar-09,13.2,Wheat
Gujarat,Mar-09,12.85,Wheat
Jammu and Kashmir,Mar-09,12,Wheat
Jharkhand,Mar-09,13,Wheat
Karnataka,Mar-09,17,Wheat
Kerala,Mar-09,22,Wheat
Madhya Pradesh,Mar-09,12,Wheat
Maharashtra,Mar-09,15.7,Wheat
Nagaland,Mar-09,14,Wheat
Punjab,Mar-09,11.5,Wheat
Rajasthan,Mar-09,12,Wheat
Tamil Nadu,Mar-09,18,Wheat
Telangana,Mar-09,14,Wheat
Uttar Pradesh,Mar-09,12,Wheat
Uttarakhand,Mar-09,13,Wheat
Assam,Apr-09,13,Wheat
Bihar,Apr-09,11,Wheat
Chandigarh,Apr-09,13,Wheat
Chhattisgarh,Apr-09,18,Wheat
Delhi,Apr-09,13.72,Wheat
Gujarat,Apr-09,12.5,Wheat
Jammu and Kashmir,Apr-09,12,Wheat
Jharkhand,Apr-09,13,Wheat
Karnataka,Apr-09,17,Wheat
Kerala,Apr-09,22,Wheat
Madhya Pradesh,Apr-09,12,Wheat
Maharashtra,Apr-09,15.33,Wheat
Nagaland,Apr-09,14,Wheat
Punjab,Apr-09,11.5,Wheat
Rajasthan,Apr-09,12,Wheat
Tamil Nadu,Apr-09,18,Wheat
Telangana,Apr-09,14,Wheat
Uttar Pradesh,Apr-09,12.22,Wheat
Uttarakhand,Apr-09,12.83,Wheat
Assam,May-09,13.8,Wheat
Bihar,May-09,11,Wheat
Chandigarh,May-09,13,Wheat
Chhattisgarh,May-09,18,Wheat
Delhi,May-09,13.9,Wheat
Gujarat,May-09,13,Wheat
Jammu and Kashmir,May-09,12,Wheat
Jharkhand,May-09,13,Wheat
