Price,TimeInsulated,Capacity,Cleanbility,Containment,TimeCost,CapacityCost,CleanabilityCost,ContainmentCost,TotalCost,TotalGM,MktShare,EPP,Revenue
$30,0.5 hrs,12 oz,Difficult,Slosh Resistant,0.5,1.0,1.0,0.5,3.0,27.0,0.017,0.459,0.51
$30,0.5 hrs,12 oz,Difficult,Spill Resistant,0.5,1.0,1.0,0.8,3.3,26.7,0.0257,0.68619,0.771
$30,0.5 hrs,12 oz,Difficult,Leak Resistant,0.5,1.0,1.0,1.0,3.5,26.5,0.0454,1.2031,1.362
$30,0.5 hrs,12 oz,Fair,Slosh Resistant,0.5,1.0,2.2,0.5,4.2,25.8,0.0316,0.8152800000000001,0.9480000000000001
$30,0.5 hrs,12 oz,Fair,Spill Resistant,0.5,1.0,2.2,0.8,4.5,25.5,0.0503,1.2826499999999998,1.509
$30,0.5 hrs,12 oz,Fair,Leak Resistant,0.5,1.0,2.2,1.0,4.7,25.3,0.0887,2.24411,2.661
$30,0.5 hrs,12 oz,Easy,Slosh Resistant,0.5,1.0,3.0,0.5,5.0,25.0,0.0499,1.2475,1.4969999999999999
$30,0.5 hrs,12 oz,Easy,Spill Resistant,0.5,1.0,3.0,0.8,5.3,24.7,0.0779,1.92413,2.3369999999999997
$30,0.5 hrs,12 oz,Easy,Leak Resistant,0.5,1.0,3.0,1.0,5.5,24.5,0.1295,3.17275,3.8850000000000002
$30,0.5 hrs,20 oz,Difficult,Slosh Resistant,0.5,2.6,1.0,0.5,4.6,25.4,0.0139,0.35306,0.417
$30,0.5 hrs,20 oz,Difficult,Spill Resistant,0.5,2.6,1.0,0.8,4.8999999999999995,25.1,0.0251,0.6300100000000001,0.753
$30,0.5 hrs,20 oz,Difficult,Leak Resistant,0.5,2.6,1.0,1.0,5.1,24.9,0.0516,1.28484,1.548
$30,0.5 hrs,20 oz,Fair,Slosh Resistant,0.5,2.6,2.2,0.5,5.800000000000001,24.2,0.0317,0.7671399999999999,0.951
$30,0.5 hrs,20 oz,Fair,Spill Resistant,0.5,2.6,2.2,0.8,6.1000000000000005,23.9,0.055,1.3145,1.65
$30,0.5 hrs,20 oz,Fair,Leak Resistant,0.5,2.6,2.2,1.0,6.300000000000001,23.7,0.1035,2.45295,3.105
$30,0.5 hrs,20 oz,Easy,Slosh Resistant,0.5,2.6,3.0,0.5,6.6,23.4,0.0539,1.26126,1.617
$30,0.5 hrs,20 oz,Easy,Spill Resistant,0.5,2.6,3.0,0.8,6.8999999999999995,23.1,0.0879,2.0304900000000004,2.637
$30,0.5 hrs,20 oz,Easy,Leak Resistant,0.5,2.6,3.0,1.0,7.1,22.9,0.152,3.4808,4.56
$30,0.5 hrs,32 0z,Difficult,Slosh Resistant,0.5,2.8,1.0,0.5,4.8,25.2,0.0128,0.32256,0.384
$30,0.5 hrs,32 0z,Difficult,Spill Resistant,0.5,2.8,1.0,0.8,5.1,24.9,0.022,0.5478,0.6599999999999999
$30,0.5 hrs,32 0z,Difficult,Leak Resistant,0.5,2.8,1.0,1.0,5.3,24.7,0.0473,1.16831,1.419
$30,0.5 hrs,32 0z,Fair,Slosh Resistant,0.5,2.8,2.2,0.5,6.0,24.0,0.0273,0.6552,0.8190000000000001
$30,0.5 hrs,32 0z,Fair,Spill Resistant,0.5,2.8,2.2,0.8,6.3,23.7,0.0455,1.07835,1.365
