Price,TimeInsulated,Capacity,Cleanbility,Containment,TimeCost,CapacityCost,CleanabilityCost,ContainmentCost,TotalCost,TotalGM,MktShare,EPP,Revenue
$30,0.5 hrs,12 oz,Difficult,Slosh Resistant,0.5,1.0,1.0,0.5,3.0,27.0,0.017014234153942293,0.45938432215644187,0.5104270246182687
$30,0.5 hrs,12 oz,Difficult,Spill Resistant,0.5,1.0,1.0,0.8,3.3,26.7,0.02571775089613078,0.6866639489266918,0.7715325268839235
$30,0.5 hrs,12 oz,Difficult,Leak Resistant,0.5,1.0,1.0,1.0,3.5,26.5,0.0454184388174704,1.2035886286629656,1.362553164524112
$30,0.5 hrs,12 oz,Fair,Slosh Resistant,0.5,1.0,2.2,0.5,4.2,25.8,0.0316175269414527,0.8157321950894797,0.948525808243581
$30,0.5 hrs,12 oz,Fair,Spill Resistant,0.5,1.0,2.2,0.8,4.5,25.5,0.05028935350315027,1.282378514330332,1.5086806050945083
$30,0.5 hrs,12 oz,Fair,Leak Resistant,0.5,1.0,2.2,1.0,4.7,25.3,0.08871878169708512,2.2445851769362535,2.6615634509125536
$30,0.5 hrs,12 oz,Easy,Slosh Resistant,0.5,1.0,3.0,0.5,5.0,25.0,0.049938937145696916,1.2484734286424228,1.4981681143709076
$30,0.5 hrs,12 oz,Easy,Spill Resistant,0.5,1.0,3.0,0.8,5.3,24.7,0.07789433355935707,1.9239900389161195,2.336830006780712
$30,0.5 hrs,12 oz,Easy,Leak Resistant,0.5,1.0,3.0,1.0,5.5,24.5,0.12949203387596392,3.172554829961116,3.8847610162789175
$30,0.5 hrs,20 oz,Difficult,Slosh Resistant,0.5,2.6,1.0,0.5,4.6,25.4,0.013916820562956827,0.3534872422991034,0.4175046168887048
$30,0.5 hrs,20 oz,Difficult,Spill Resistant,0.5,2.6,1.0,0.8,4.8999999999999995,25.1,0.0250625877497733,0.6290709525193099,0.7518776324931989
$30,0.5 hrs,20 oz,Difficult,Leak Resistant,0.5,2.6,1.0,1.0,5.1,24.9,0.05162016999238297,1.2853422328103359,1.548605099771489
